year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,Robert Woods,7822,WR,15,LA,614,13,2.1,0,0,0,0,100
2019,Josh Rosen,35460,QB,5,MIA,129,1,0.8,0,0,0,0,100
2019,Damien Harris,35134,HB,1,NE,1,1,100,0,0,0,0,100
2019,Alec Ingold,34934,FB,15,OAK,57,13,22.8,0,0,0,0,100
2019,Jakob Johnson,32565,FB,3,NE,35,6,17.1,0,0,0,0,100
2019,Jaeden Graham,31849,TE,12,ATL,123,3,2.4,0,0,0,0,100
2019,Mike Boone,31615,HB,4,MIN,23,3,13,0,0,0,0,100
2019,Keenan Allen,7857,WR,16,LAC,596,3,0.5,0,0,0,0,100
2019,Andrew Van Ginkel,30267,ED,1,MIA,1,1,100,0,0,0,0,100
2019,Wes Hills,30228,HB,1,DET,12,4,33.3,0,0,0,0,100
2019,Chris Lacy,29726,WR,6,DET,86,1,1.2,0,0,0,0,100
2019,Carson Meier,29686,TE,1,ATL,11,2,18.2,0,0,0,0,100
2019,Deon Yelder,29556,TE,4,KC,19,3,15.8,0,0,0,0,100
2019,Kenny Stills,7926,WR,13,HST,374,2,0.5,0,0,0,0,100
2019,David Long,29367,LB,1,TEN,1,1,100,0,0,0,0,100
2019,Luke Willson,7940,TE,8,SEA,104,28,26.9,0,0,0,0,100
2019,Sam Darnold,29048,QB,13,NYJ,485,2,0.4,0,0,0,0,100
2019,Joshua Miles,29038,T,2,ARZ,2,2,100,0,0,0,0,100
2019,Jermaine Carter,28838,LB,1,CAR,1,1,100,0,0,0,0,100
2019,David Quessenberry,7957,T,2,TEN,2,1,50,0,0,0,0,100
2019,Oli Udoh,28394,T,1,MIN,14,14,100,0,0,0,0,100
2019,Kenjon Barner,7963,HB,10,ATL,56,1,1.8,0,0,0,0,100
2019,Jerome Baker,28091,LB,1,MIA,1,1,100,0,0,0,0,100
2019,Rashaad Penny,27414,HB,10,SEA,70,7,10,0,0,0,0,100
2019,Nick Bawden,27413,FB,9,DET,41,9,22,0,0,0,0,100
2019,Kerrith Whyte Jr.,26392,HB,6,PIT,8,3,37.5,0,0,0,0,100
2019,Daren Bates,8077,LB,2,TEN,2,1,50,0,0,0,0,100
2019,John Wetzel,8088,G,1,ATL,7,7,100,0,0,0,0,100
2019,Fred Brown,23172,WR,10,DEN,42,2,4.8,0,0,0,0,100
2019,Sam Eguavoen,15301,LB,1,MIA,1,1,100,0,0,0,0,100
2019,Joe Jones,12321,LB,1,DEN,1,1,100,0,0,0,0,100
