player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Matt Jones,9528,HB,13,WAS,173,45,26.0,1,1,6,8,90.0
Darrell Williams,9917,T,1,SL,10,10,100.0,1,0,0,1,90.0
Danny Woodhead,4914,HB,16,SD,440,45,10.2,0,5,4,9,90.0
Ryan Griffin,7982,TE,9,HST,224,10,4.5,0,0,2,2,90.0
Duke Johnson Jr.,9510,HB,16,CLV,413,73,17.7,2,3,8,13,89.7
Giovani Bernard,7818,HB,16,CIN,367,102,27.8,3,2,13,18,89.7
LeGarrette Blount,5863,HB,11,NE,105,19,18.1,1,0,2,3,89.5
Don Barclay,7703,T,9,GB,245,244,99.6,9,4,30,43,89.3
Matt Forte,4358,HB,13,CHI,324,37,11.4,2,0,4,6,89.2
Malcolm Johnson,9628,FB,12,CLV,64,9,14.1,1,0,0,1,88.9
Austin Johnson,8438,FB,9,NO,46,9,19.6,0,0,2,2,88.9
Josh Walker,9046,G,5,GB,35,34,97.1,2,0,4,6,88.2
Javorius Allen,9558,HB,15,BLT,234,38,16.2,1,1,6,8,88.2
Darrel Young,5438,FB,13,WAS,24,4,16.7,0,1,0,1,87.5
Jarryd Hayne,10255,HB,5,SF,43,8,18.6,1,0,0,1,87.5
Sam Brenner,8493,C,2,DEN,4,4,100.0,0,0,1,1,87.5
Zurlon Tipton,9164,HB,6,IND,47,14,29.8,1,0,2,3,85.7
Daryl Williams,9535,T,2,CAR,7,7,100.0,1,0,0,1,85.7
Reggie Bush,2947,HB,5,SF,36,6,16.7,0,0,2,2,83.3
Bernard Pierce,7085,HB,4,JAX,21,3,14.3,0,1,0,1,83.3
Travaris Cadet,7457,HB,7,NO,96,9,9.4,1,1,0,2,83.3
Pierre Thomas,4080,HB,4,WAS,40,3,7.5,0,0,1,1,83.3
De'Ondre Wesley,9867,T,1,BLT,3,3,100.0,0,0,1,1,83.3
Ka'Deem Carey,8752,HB,6,CHI,28,3,10.7,0,0,1,1,83.3
Andre Ellington,7968,HB,10,ARZ,145,26,17.9,2,1,4,7,82.7
Derrick Coleman,7377,FB,9,SEA,33,8,24.2,1,0,1,2,81.2
Tyreek Burwell,10124,T,5,SD,44,44,100.0,2,2,11,15,80.7
Ryan Wendell,4602,C,1,NE,5,5,100.0,0,1,2,3,70.0
Randall Cobb,6216,WR,16,GB,639,1,0.2,0,0,1,1,50.0
Brian Leonhardt,8083,TE,3,SF,9,4,44.4,2,0,0,2,50.0
Jordan Todman,6335,HB,2,PIT,4,1,25.0,0,0,1,1,50.0
