player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Steve Johnson,4538,WR,13,SF,49,35,435,203,2.14,2014
Golden Tate,5585,WR,16,DET,136,99,1331,626,2.13,2014
Eric Decker,5611,WR,15,NYJ,110,74,962,454,2.12,2014
Jeremy Maclin,4942,WR,16,PHI,140,85,1318,622,2.12,2014
Troy Niklas,8687,TE,6,ARZ,3,3,38,18,2.11,2014
Damien Williams,9205,HB,12,MIA,25,21,187,89,2.1,2014
Roy Helu,6257,HB,14,WAS,43,41,453,217,2.09,2014
Fitzgerald Toussaint,9244,HB,3,BLT,6,3,27,13,2.08,2014
Mike Evans,8642,WR,15,TB,116,68,1051,510,2.06,2014
Kenny Stills,7926,WR,15,NO,80,63,931,456,2.04,2014
Andrew Hawkins,6125,WR,15,CLV,101,63,824,406,2.03,2014
Joshua Cribbs,2544,WR,1,IND,1,1,8,4,2,2014
Adrian Peterson,3623,HB,1,MIN,3,2,18,9,2,2014
Anquan Boldin,1369,WR,16,SF,121,83,1062,544,1.95,2014
