year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2015,Tyler Varga,9712,HB,3,IND,1,1,0,1,0
2015,Paul Richardson Jr.,8680,WR,1,SEA,1,1,0,1,0
2015,Jerome Felton,4460,FB,15,BUF,1,1,0,1,0
2015,Tim Hightower,4463,HB,5,NO,13,12,0,12,0
2015,DeAndrew White,9697,WR,2,SF,2,2,0,2,0
2015,Geoff Swaim,9679,TE,1,DAL,1,1,0,1,0
2015,Will Tukuafu,7764,FB,11,SEA,1,1,0,1,0
2015,Mario Alford,9671,WR,1,CIN,1,1,0,1,0
2015,Matthew Mulligan,4701,TE,11,BUF,1,1,0,1,0
2015,Troy Niklas,8687,TE,11,ARZ,4,4,0,4,0
