year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Peyton Thompson,7235,CB,3,JAX,28,3,2,22,20,0,0,88.2,0.79,9.3,14
2015,Roman Harper,2988,S,16,CAR,111,11,8,105,42,2,0,142,0.95,10.1,13.9
2015,Dan Skuta,5349,LB,11,JAX,27,3,2,15,17,0,0,78.5,0.56,9,13.5
2015,Trenton Robinson,7170,S,6,WAS,27,3,2,34,4,0,0,104.9,1.26,9,13.5
2015,George Iloka,7159,S,10,CIN,40,3,3,28,25,1,0,145.1,0.7,13.3,13.3
2015,Dashon Goldson,3742,S,13,WAS,40,5,3,46,15,0,0,90.4,1.15,8,13.3
2015,Morgan Burnett,5596,S,10,GB,40,5,3,44,15,0,0,88.8,1.1,8,13.3
2015,Ha Ha Clinton-Dix,8656,S,13,GB,53,9,4,39,38,0,0,57.2,0.74,5.9,13.3
2015,Kyle Wilson,5554,CB,15,NO,251,26,19,214,108,3,1,119.7,0.85,9.7,13.2
2015,Michael Wilhoite,6989,LB,10,SF,26,3,2,20,11,0,0,85.4,0.77,8.7,13
2015,Mike Mitchell,4970,S,12,PIT,13,3,1,8,0,1,1,42.4,0.62,4.3,13
2015,J.J. Wilcox,7861,S,7,DAL,13,3,1,4,2,0,0,42.4,0.31,4.3,13
2015,Glover Quin,5035,S,7,DET,13,1,1,7,3,0,0,95.8,0.54,13,13
2015,Tre Boston,8763,S,8,CAR,13,1,1,6,2,0,0,91.7,0.46,13,13
2015,Joe Thomas,9272,LB,7,GB,13,5,1,12,7,0,0,39.6,0.92,2.6,13
2015,Corey Graham,3784,S,15,BUF,142,18,11,173,102,1,0,111.6,1.22,7.9,12.9
2015,Darrelle Revis,3630,CB,13,NYJ,76,11,6,70,39,0,1,36.2,0.92,6.9,12.7
2015,Brandon Meriweather,3640,S,11,NYG,38,5,3,18,7,1,0,106.7,0.47,7.6,12.7
2015,Alan Ball,3853,CB,10,CHI,25,3,2,46,42,1,0,149.3,1.84,8.3,12.5
2015,Derrick Johnson,2232,LB,9,KC,25,5,2,26,12,0,0,57.1,1.04,5,12.5
2015,Taylor Mays,5574,S,11,OAK,50,9,4,27,14,0,0,51.6,0.54,5.6,12.5
2015,Darryl Morris,8456,CB,5,HST,25,2,2,70,50,0,0,118.8,2.8,12.5,12.5
2015,Eric Reid,7799,S,9,SF,25,2,2,6,2,1,0,118.8,0.24,12.5,12.5
2015,Corey White,7652,CB,5,ARZ,62,7,5,26,26,0,0,77.1,0.42,8.9,12.4
2015,Tashaun Gipson Sr.,7288,S,13,CLV,62,9,5,53,19,1,1,70.4,0.85,6.9,12.4
2015,T.J. McDonald,7852,S,11,SL,61,8,5,48,28,0,0,79.2,0.79,7.6,12.2
2015,Jelani Jenkins,7886,LB,11,MIA,48,5,4,46,17,1,0,144.6,0.96,9.6,12
2015,Bud Dupree,9455,ED,9,PIT,12,1,1,52,33,0,0,118.8,4.33,12,12
2015,Dwayne Gratz,7845,CB,9,JAX,24,3,2,14,6,1,0,116.7,0.58,8,12
2015,David Bruton,5037,S,13,DEN,94,14,8,108,62,0,0,81.8,1.15,6.7,11.8
2015,Paul Posluszny,3650,LB,13,JAX,59,7,5,54,46,1,0,133.3,0.92,8.4,11.8
2015,Robert Golden,7303,S,11,PIT,47,5,4,27,9,0,0,89.2,0.57,9.4,11.8
2015,Christian Jones,9020,LB,12,CHI,35,5,3,33,22,0,0,79.6,0.94,7,11.7
2015,Jahleel Addae,8117,S,12,SD,46,9,4,16,13,0,0,51.6,0.35,5.1,11.5
2015,Trumaine Johnson,7067,CB,12,SL,23,3,2,15,13,0,0,78.5,0.65,7.7,11.5
2015,Bruce Irvin,7021,LB,9,SEA,23,2,2,6,6,0,0,79.2,0.26,11.5,11.5
2015,Bryce Callahan,10000,CB,8,CHI,207,31,18,187,104,0,0,75.6,0.9,6.7,11.5
2015,Sam Shields,5943,CB,10,GB,23,2,2,32,9,0,0,118.8,1.39,11.5,11.5
2015,Kemal Ishmael,8026,S,11,ATL,57,9,5,56,36,0,1,34.7,0.98,6.3,11.4
2015,Antonio Cromartie,2964,CB,13,NYJ,45,7,4,59,48,1,0,124.4,1.31,6.4,11.3
2015,Brice McCain,5112,CB,13,MIA,261,40,23,233,120,0,1,63.9,0.89,6.5,11.3
2015,Justin Rogers,6358,CB,1,WAS,34,4,3,18,24,0,0,83.3,0.53,8.5,11.3
2015,Craig Dahl,3920,S,12,NYG,34,4,3,35,17,1,0,140.6,1.03,8.5,11.3
2015,Kyshoen Jarrett,9614,S,11,WAS,215,31,19,185,90,1,0,88.8,0.86,6.9,11.3
2015,Shaq Thompson,9458,LB,12,CAR,68,7,6,55,40,0,0,99.4,0.81,9.7,11.3
2015,Will Blackmon,3060,CB,15,WAS,247,35,22,264,150,3,2,90.7,1.07,7.1,11.2
2015,Jeremy Lane,7164,CB,6,SEA,78,11,7,125,65,1,0,132.8,1.6,7.1,11.1
2015,Malcolm Butler,9040,CB,16,NE,143,20,13,223,89,3,0,142.3,1.56,7.2,11
2015,Andre Hal,8850,S,13,HST,66,7,6,129,63,2,1,118.8,1.95,9.4,11
2015,James Laurinaitis,4958,LB,9,SL,11,1,1,4,6,0,0,83.3,0.36,11,11
2015,Brandon Browner,2512,CB,15,NO,77,14,7,80,24,2,1,77.4,1.04,5.5,11
2015,Dont'a Hightower,7030,LB,11,NE,22,3,2,18,11,0,0,82.6,0.82,7.3,11
2015,K'Waun Williams,9332,CB,13,CLV,263,38,24,217,82,3,0,104.8,0.83,6.9,11
2015,Brian Dixon,9146,CB,6,NO,11,1,1,4,0,0,0,83.3,0.36,11,11
2015,T.J. Carrie,8853,CB,15,OAK,250,40,23,257,115,1,1,74.7,1.03,6.3,10.9
2015,Coty Sensabaugh,7115,CB,16,TEN,268,38,25,272,120,3,1,102.1,1.01,7.1,10.7
2015,Patrick Chung,4957,S,15,NE,201,31,19,181,74,0,0,77.5,0.9,6.5,10.6
2015,Connor Barwin,4969,ED,10,PHI,21,2,2,5,5,0,0,79.2,0.24,10.5,10.5
2015,Rey Maualuga,4961,LB,8,CIN,21,2,2,15,5,0,0,97.9,0.71,10.5,10.5
2015,William Gay,3786,CB,15,PIT,293,41,28,247,155,0,0,84.1,0.84,7.1,10.5
2015,Marcus Gilchrist,6202,S,16,NYJ,104,15,10,80,39,1,1,74.3,0.77,6.9,10.4
