year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Jack Mewhort,8694,G,10,IND,666,0,442,224,0,689,0,0,0,66.8,75.7,60.7,0,1,17,18,3,0
2016,Allen Robinson II,8696,WR,16,JAX,339,0,0,339,0,0,0,0,0,69.8,,78.1,0,0,0,0,3,1
2016,Jimmy Garoppolo,8697,QB,6,NE,136,76,0,60,0,0,0,0,0,73.8,,60,0,0,1,1,1,0
2016,Jarvis Landry,8698,WR,16,MIA,360,1,0,359,0,0,0,0,0,83.6,,70.9,0,0,1,1,10,3
2016,Justin Britt,8699,C,15,SEA,994,0,640,354,0,0,1024,0,0,76.5,77.9,72.3,0,0,14,14,2,0
2016,C.J. Fiedorowicz,8700,TE,15,HST,382,0,52,330,0,0,0,0,1,80.6,78.6,64.9,0,0,1,1,2,0
2016,Morgan Moses,8701,T,16,WAS,1017,0,648,369,0,0,0,0,1052,76.8,75.3,73.6,5,3,23,31,8,1
2016,Billy Turner,8702,G,6,DEN,138,0,87,51,44,45,0,40,7,32.3,29.3,39.1,4,3,6,13,2,1
2016,Charles Sims,8704,HB,7,TB,53,0,48,5,0,0,0,0,0,58.7,66.4,60,1,0,5,6,0,0
2016,Marcus Martin,8705,C,4,SF,110,0,62,48,0,10,94,8,0,49.3,49.9,49.1,2,0,4,6,1,0
2016,Preston Brown,8708,LB,1,BUF,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Travis Swanson,8711,C,12,DET,766,0,516,250,0,0,785,0,0,74.6,79.2,68.9,2,3,7,12,3,0
2016,Spencer Long,8713,C,13,WAS,804,0,495,309,0,1,828,0,0,71,84.7,63.2,1,4,8,13,2,1
2016,Gabe Jackson,8716,G,16,OAK,1115,0,683,432,0,0,0,1154,0,74.7,78.8,69.8,0,5,20,25,6,2
2016,Josh Huff,8721,WR,10,TB,75,1,0,74,0,0,0,0,0,63.6,,64.1,0,0,0,0,0,0
