player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Montae Nicholson,11878,S,7,WAS,190,7,3,22,9,1,1,50.9,0.12,27.1,63.3
Robert Golden,7303,S,9,PIT,121,4,2,54,22,0,1,56.3,0.45,30.3,60.5
Keith Tandy,7166,S,8,TB,119,3,2,15,18,0,0,78.5,0.13,39.7,59.5
Malik Hooker,11770,S,7,IND,233,8,4,84,20,3,3,87.5,0.36,29.1,58.3
Steven Terrell,8450,S,2,KC,55,2,1,18,5,0,1,41.7,0.33,27.5,55.0
Darian Thompson,10705,S,16,NYG,573,29,11,147,57,2,1,63.4,0.26,19.8,52.1
Clayton Geathers,9542,S,5,IND,52,1,1,9,6,0,0,104.2,0.17,52.0,52.0
Ibraheim Campbell,9548,S,6,HST,103,3,2,20,0,2,0,125.0,0.19,34.3,51.5
Dymonte Thomas,49127,S,3,DEN,49,1,1,2,2,0,0,79.2,0.04,49.0,49.0
Chris Maragos,5906,S,1,PHI,47,1,1,16,1,0,0,118.8,0.34,47.0,47.0
Earl Thomas III,5539,S,14,SEA,512,19,11,160,95,2,2,80.9,0.31,26.9,46.5
Lorenzo Jerome,12308,S,4,SF,46,1,1,6,4,0,0,91.7,0.13,46.0,46.0
Anthony Harris,9895,S,5,MIN,130,5,3,24,14,0,0,72.1,0.18,26.0,43.3
Marwin Evans,11343,S,10,GB,86,4,2,22,5,1,0,106.3,0.26,21.5,43.0
Marcus Maye,11794,S,16,NYJ,558,18,13,196,88,3,2,107.6,0.35,31.0,42.9
Kai Nacua,12102,S,6,CLV,127,4,3,18,9,0,0,83.3,0.14,31.8,42.3
Adrian Colbert,11983,S,9,SF,291,10,7,76,24,1,0,125.4,0.26,29.1,41.6
Rodney McLeod,7271,S,14,PHI,531,16,13,218,136,0,3,79.2,0.41,33.2,40.8
Lamarcus Joyner,8676,S,12,LA,406,26,10,125,45,1,3,27.4,0.31,15.6,40.6
Bryce Hager,9657,LB,8,LA,81,5,2,48,41,0,0,75.4,0.59,16.2,40.5
Clayton Fejedelem,10879,S,13,CIN,156,8,4,52,21,0,1,31.3,0.33,19.5,39.0
Blidi Wreh-Wilson,7851,CB,4,ATL,38,3,1,6,0,1,0,81.9,0.16,12.7,38.0
Jimmie Ward,8665,S,7,SF,223,8,6,186,119,1,0,156.3,0.83,27.9,37.2
Glover Quin,5035,S,16,DET,591,23,16,113,65,1,3,55.4,0.19,25.7,36.9
Eric Weddle,3653,S,16,BLT,604,24,17,202,119,1,6,70.5,0.33,25.2,35.5
Jason Verrett,8660,CB,1,LAC,35,4,1,4,0,0,0,39.6,0.11,8.8,35.0
Reggie Nelson,3637,S,16,OAK,554,29,16,248,136,1,1,80.8,0.45,19.1,34.6
