year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Bryce Brown,7213,HB,7,BUF,61.7,3,61.5,3,75,32,25,0,0,0,,0,0,0,,0,0,0
2014,Chris Owusu,7276,WR,8,NYJ,77.5,3,75.9,3,147,87,49,0,0,0,,0,0,0,,0,0,0
2014,Michael Thomas,7279,S,8,MIA,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Cole Beasley,7330,WR,16,DAL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Lance Dunbar,7332,HB,16,DAL,63.9,2,63.5,2,46,28,23,0,0,0,,0,0,0,,0,0,0
2014,Saalim Hakim,7334,WR,16,NYJ,52.5,13,53.3,13,278,44,21.4,0,0,0,,0,0,0,,0,0,0
2014,Griff Whalen,7351,WR,10,IND,53.8,41,63.4,15,379,32,25.3,0,0,0,46.7,26,189,22,7.3,0,17,0
2014,Joe Banyard,7361,HB,15,MIN,,1,,1,8,8,8,0,0,0,,0,0,0,,0,0,0
2014,Jarrett Boykin,7363,WR,13,GB,,1,,1,3,3,3,0,0,0,,0,0,0,,0,0,0
2014,Ryan Davis Sr.,7365,DI,16,JAX,,2,,2,22,15,11,0,1,0,,0,0,0,,0,0,0
2014,Leonard Johnson,7385,CB,16,TB,61.2,1,61.2,1,18,18,18,0,0,0,,0,0,0,,0,0,0
2014,Tony Jerod-Eddie,7432,DI,16,SF,,1,,1,18,18,18,0,0,0,,0,0,0,,0,0,0
2014,Brian Folkerts,7435,C,16,CAR,,1,,1,12,12,12,0,0,0,,0,0,0,,0,0,0
2014,Travaris Cadet,7457,HB,15,NO,53.8,16,54.4,16,383,34,23.9,0,0,0,60,0,0,0,,0,1,0
2014,Bobby Rainey Jr.,7511,HB,15,TB,61.3,13,58.5,6,158,33,26.3,0,0,0,64.4,7,60,14,8.6,0,3,0
2014,Brenton Bersin,7516,WR,15,CAR,54.1,20,71.6,7,167,49,23.9,0,0,0,41.9,13,86,18,6.6,0,20,0
2014,Chase Ford,7528,TE,11,MIN,,1,,1,12,12,12,0,0,0,,0,0,0,,0,0,0
2014,Damaris Johnson,7530,WR,16,HST,60.6,17,61.1,8,136,31,17,0,0,0,59.5,9,54,12,6,0,4,0
