player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Gavin Escobar,7828,TE,13,DAL,40,6,15.0,14,35.0,2,14.3,1,0,14,1.0,0,0.0,50.0
Lamar Miller,7097,HB,14,HST,253,36,14.2,9,3.6,2,22.2,1,0,4,0.44,0,0.0,50.0
Jerell Adams,10818,TE,12,NYG,110,20,18.2,23,20.9,2,8.7,1,0,10,0.43,0,0.0,50.0
Victor Cruz,5827,WR,15,NYG,467,68,14.6,20,4.3,2,10.0,1,0,6,0.3,0,0.0,50.0
Chester Rogers,10918,WR,13,IND,287,31,10.8,64,22.3,4,6.3,2,0,28,0.44,0,0.0,50.0
Reggie Bush,2947,HB,10,BUF,43,10,23.3,6,14.0,2,33.3,1,0,13,2.17,0,0.0,50.0
Frank Gore,2282,HB,16,IND,263,44,16.7,11,4.2,2,18.2,1,0,15,1.36,0,0.0,50.0
Brandon Bostick,7605,TE,15,NYJ,72,10,13.9,10,13.9,2,20.0,1,1,14,1.4,0,50.0,50.0
Deonte Thompson,7513,WR,13,CHI,176,36,20.5,18,10.2,2,11.1,1,0,3,0.17,1,0.0,50.0
Tyler Lockett,9502,WR,15,SEA,394,62,15.7,122,31.0,12,9.8,6,1,47,0.39,0,14.3,50.0
Jeff Heuerman,9525,TE,12,DEN,90,13,14.4,14,15.6,2,14.3,1,0,19,1.36,0,0.0,50.0
Davante Adams,8688,WR,16,GB,633,118,18.6,130,20.5,23,17.7,11,3,111,0.85,2,21.4,47.8
Charles Clay,6326,TE,15,BUF,417,81,19.4,109,26.1,21,19.3,10,2,116,1.06,1,16.7,47.6
Allen Hurns,8931,WR,11,JAX,420,67,16.0,293,69.8,42,14.3,20,6,270,0.92,2,23.1,47.6
Bennie Fowler,8914,WR,13,DEN,153,21,13.7,94,61.4,17,18.1,8,2,115,1.22,2,20.0,47.1
Demaryius Thomas,5547,WR,16,DEN,549,141,25.7,115,20.9,26,22.6,12,1,130,1.13,0,7.7,46.2
Eric Decker,5611,WR,3,NYJ,121,20,16.5,74,61.2,13,17.6,6,1,139,1.88,0,14.3,46.2
Dez Bryant,5549,WR,13,DAL,412,89,21.6,94,22.8,22,23.4,10,0,183,1.95,0,0.0,45.5
Jermaine Kearse,7428,WR,16,SEA,539,76,14.1,150,27.8,22,14.7,10,0,90,0.6,1,0.0,45.5
Darrius Heyward-Bey,4930,WR,9,PIT,144,19,13.2,67,46.5,9,13.4,4,0,61,0.91,2,0.0,44.4
Garrett Celek,7274,TE,16,SF,280,47,16.8,67,23.9,7,10.4,3,0,52,0.78,0,0.0,42.9
