player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Adolphus Washington,10714,DI,5,CIN,68,68,100.0,1,1,4,6,5.1,44,64.7,1,1,2,4,5.7,24,35.3,0,0,2,2,4.2
B.J. Hill,49894,DI,16,NYG,327,326,99.7,6,1,20,27,5.1,165,51.9,2,1,8,11,3.9,153,48.1,4,0,11,15,6.2
Stephen Weatherly,10861,ED,16,MIN,307,294,95.8,3,6,18,27,5.1,236,80.5,2,5,17,24,5.5,57,19.5,1,1,1,3,3.5
Akeem Spence,7882,DI,16,MIA,337,335,99.4,2,7,23,32,5.1,300,91.5,2,6,21,29,5.2,28,8.5,0,1,0,1,1.8
Julius Peppers,1010,ED,16,CAR,335,324,96.7,5,6,17,28,5.1,289,89.5,4,5,15,24,4.8,34,10.5,1,1,1,3,5.9
Kawann Short,7825,DI,14,CAR,363,360,99.2,3,4,27,34,5.1,137,39.8,0,0,8,8,2.9,207,60.2,3,4,16,23,6.3
C.J. Mosley,8652,LB,15,BLT,550,148,26.9,1,1,12,14,5.1,67,52.3,1,0,4,5,4.5,61,47.7,0,1,5,6,4.9
Carl Nassib,10699,ED,15,TB,341,328,96.2,6,7,14,27,5.0,255,77.7,4,7,13,24,5.5,73,22.3,2,0,1,3,3.4
Ndamukong Suh,5527,DI,16,LA,527,526,99.8,5,11,32,48,5.0,351,70.2,5,7,23,35,5.7,149,29.8,0,4,7,11,3.7
Will Clarke,8723,ED,3,TB,10,10,100.0,0,0,1,1,5.0,6,60.0,0,0,1,1,8.3,4,40.0,0,0,0,0,0.0
