player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Ezekiel Elliott,10638,HB,10,DAL,33,26,269,267,1.01
Michael Floyd,7019,WR,11,MIN,14,10,78,78,1.0
Eddie Lacy,7842,HB,8,SEA,6,6,47,47,1.0
Nick Bellore,6515,LB,1,DET,1,1,1,1,1.0
Leonard Wester,10944,T,1,TB,1,1,2,2,1.0
Brandon Coleman,9086,WR,16,NO,34,23,364,366,0.99
Trevor Davis,10797,WR,12,GB,6,5,70,71,0.99
Jonnu Smith,11855,TE,16,TEN,28,18,157,159,0.99
Antonio Gates,1609,TE,16,LAC,44,30,316,320,0.99
Chris Johnson,4338,HB,4,ARZ,6,5,43,44,0.98
Aldrick Robinson,6330,WR,16,SF,44,19,260,266,0.98
Niles Paul,6307,TE,14,WAS,18,13,94,96,0.98
Bennie Fowler,8914,WR,16,DEN,54,29,350,358,0.98
Lamar Miller,7097,HB,16,HST,41,35,327,336,0.97
Corey Clement,12253,HB,15,PHI,14,10,123,127,0.97
Torrey Smith,6210,WR,16,PHI,63,36,430,442,0.97
Michael Campanaro,8852,WR,13,BLT,24,19,173,179,0.97
Geronimo Allison,11141,WR,15,GB,38,23,253,261,0.97
John Brown,8726,WR,10,ARZ,51,21,299,311,0.96
Tavarres King,7943,WR,8,NYG,32,18,240,249,0.96
Geoff Swaim,9679,TE,11,DAL,2,2,25,26,0.96
Ricardo Louis,10748,WR,15,CLV,55,27,357,372,0.96
Jordy Nelson,4350,WR,15,GB,84,53,482,506,0.95
Troy Niklas,8687,TE,15,ARZ,20,11,132,139,0.95
Byron Marshall,11076,HB,3,WAS,8,6,36,38,0.95
Austin Seferian-Jenkins,8673,TE,13,NYJ,71,50,357,377,0.95
Brent Celek,3778,TE,16,PHI,23,13,130,137,0.95
Seth Roberts,9079,WR,15,OAK,65,43,455,478,0.95
Phillip Dorsett,9462,WR,15,NE,17,12,194,205,0.95
Charcandrick West,9047,HB,13,KC,31,27,150,160,0.94
Nick Boyle,9604,TE,15,BLT,35,28,203,216,0.94
Roger Lewis Jr.,11246,WR,15,NYG,71,36,416,444,0.94
Jaelen Strong,9503,WR,2,JAX,4,3,38,41,0.93
Lance Kendricks,6199,TE,15,GB,28,18,203,218,0.93
Carlos Hyde,8692,HB,16,SF,83,59,350,376,0.93
C.J. Anderson,8101,HB,16,DEN,35,28,224,241,0.93
Ryan Hewitt,9107,TE,11,CIN,2,2,22,24,0.92
Doug Martin,7035,HB,11,TB,17,9,84,91,0.92
Hunter Sharp,11078,WR,3,NYG,9,5,54,59,0.92
Brandon Marshall,3064,WR,5,NYG,32,18,154,170,0.91
Jordan Matthews,8677,WR,10,BUF,34,25,282,309,0.91
Kenyan Drake,10707,HB,13,MIA,43,32,239,264,0.91
DeMarco Murray,6223,HB,15,TEN,44,39,266,292,0.91
Jaron Brown,8128,WR,16,ARZ,64,31,477,529,0.9
Thomas Rawls,9993,HB,11,SEA,13,9,94,104,0.9
Brandon Tate,5006,WR,9,BUF,14,6,81,92,0.88
Jamize Olawale,7572,FB,7,OAK,7,6,33,38,0.87
Alfred Blue,8816,HB,7,HST,8,7,54,63,0.86
Jordan Taylor,9793,WR,9,DEN,18,13,142,165,0.86
Luke Stocker,6256,TE,12,TEN,5,4,30,35,0.86
Akeem Hunt,9839,HB,10,KC,6,4,31,36,0.86
Cole Beasley,7330,WR,15,DAL,57,36,314,370,0.85
Malcolm Brown,9902,HB,11,LA,11,9,53,62,0.85
Michael Clark,12107,WR,2,GB,14,4,41,48,0.85
Isaiah Crowell,9295,HB,16,CLV,39,28,182,214,0.85
Curtis Samuel,11795,WR,9,CAR,26,15,115,135,0.85
Logan Thomas,8755,TE,10,BUF,9,7,67,80,0.84
Ryan Switzer,11888,WR,13,DAL,7,6,41,49,0.84
Marcedes Lewis,2973,TE,16,JAX,45,24,318,377,0.84
Jesse James,9593,TE,16,PIT,61,43,372,450,0.83
Marshawn Lynch,3628,HB,15,OAK,29,20,151,182,0.83
Paul Perkins,10783,HB,6,NYG,9,8,46,56,0.82
Chris Carson,12004,HB,4,SEA,7,7,59,72,0.82
Robert Turbin,7106,HB,6,IND,11,9,56,69,0.81
Tommy Bohanon,7997,FB,15,JAX,11,6,43,53,0.81
Will Tye,10070,TE,3,NYJ,6,4,38,47,0.81
Harry Douglas,4398,WR,2,TEN,3,1,8,10,0.8
Mike Tolbert,4740,HB,12,BUF,16,14,78,98,0.8
Latavius Murray,7962,HB,16,MIN,17,15,103,128,0.8
ArDarius Stewart,11834,WR,14,NYJ,12,6,82,104,0.79
Noah Brown,11993,WR,12,DAL,9,4,33,42,0.79
Tyler Eifert,7802,TE,2,CIN,5,4,46,58,0.79
Amara Darboh,11861,WR,16,SEA,13,8,71,91,0.78
Anthony Fasano,2998,TE,14,MIA,15,12,107,137,0.78
Chris Matthews,6820,WR,5,BLT,6,3,25,32,0.78
Anthony Sherman,6288,FB,13,KC,7,6,47,61,0.77
Alfred Morris,7165,HB,13,DAL,8,7,45,60,0.75
Bobby Rainey Jr.,7511,HB,4,BLT,6,5,18,24,0.75
Daniel Brown,10144,TE,9,CHI,20,13,129,171,0.75
Aaron Ripkowski,9639,FB,16,GB,7,7,39,52,0.75
Austin Traylor,11411,TE,7,DEN,12,8,100,135,0.74
Marcus Johnson,11074,WR,10,PHI,8,5,45,61,0.74
Jay Prosch,8845,FB,13,HST,4,4,31,42,0.74
Russell Shepard,8254,WR,14,CAR,29,17,202,280,0.72
Patrick Ricard,48862,FB,10,BLT,4,4,12,17,0.71
Adrian Peterson,3623,HB,10,ARZ,17,11,70,98,0.71
Willie Snead IV,8999,WR,11,NO,13,8,92,131,0.7
Tyler Ervin,10753,WR,3,HST,11,8,38,54,0.7
Bryce Treggs,11278,WR,6,CLV,17,5,79,113,0.7
Mike Williams,11762,WR,10,LAC,23,11,95,135,0.7
Leonte Carroo,10720,WR,8,MIA,12,7,69,100,0.69
Zay Jones,11792,WR,15,BUF,65,27,316,461,0.69
Josh Reynolds,11872,WR,15,LA,23,11,104,154,0.68
Braxton Miller,10719,WR,11,HST,28,19,162,242,0.67
Travis Rudolph,47997,WR,7,NYG,22,8,101,151,0.67
Laquon Treadwell,10657,WR,16,MIN,33,20,200,299,0.67
Josh Ferguson,10907,HB,3,IND,4,3,16,24,0.67
Rashard Higgins,10806,WR,15,CLV,46,27,312,471,0.66
Danny Vitale,10831,FB,14,CLV,4,3,19,29,0.66
Jared Abbrederis,8811,WR,7,DET,7,3,44,67,0.66
Jordan Howard,10784,HB,16,CHI,31,23,125,190,0.66
Jay Ajayi,9582,HB,14,PHI,33,24,158,238,0.66
Michael Hoomanawanui,5655,TE,14,NO,9,6,52,81,0.64
Arrelious Benn,5564,WR,7,JAX,2,1,12,19,0.63
Andre Holmes,6489,WR,14,BUF,23,13,120,196,0.61
Tavon Austin,7789,WR,16,LA,21,13,47,77,0.61
Randall Telfer,9631,TE,15,CLV,4,3,36,61,0.59
Xavier Grimble,9092,TE,12,PIT,8,5,32,54,0.59
Josh Hill,8200,TE,16,NO,22,16,125,213,0.59
Kaelin Clay,9617,WR,13,CAR,19,6,85,146,0.58
Demarcus Robinson,10760,WR,16,KC,37,21,212,363,0.58
Antony Auclair,24606,TE,7,TB,2,2,25,43,0.58
Dwayne Washington,10870,HB,5,DET,2,2,14,24,0.58
Andre Roberts,5612,WR,8,ATL,3,1,12,21,0.57
Eli Rogers,9878,WR,14,PIT,36,18,149,270,0.55
Dwayne Allen,7066,TE,16,NE,19,10,86,156,0.55
Brandon Bolden,7469,HB,2,NE,2,1,7,13,0.54
Cole Hikutini,12276,TE,3,SF,2,2,15,28,0.54
Kalif Raymond,11028,WR,3,NYG,1,1,12,23,0.52
Jeremy Hill,8690,HB,7,CIN,4,4,16,31,0.52
Branden Oliver,9286,HB,8,LAC,9,6,26,51,0.51
Jonathan Stewart,4327,HB,15,CAR,13,8,52,102,0.51
Fitzgerald Toussaint,9244,HB,4,PIT,3,2,9,18,0.5
Patrick DiMarco,6997,FB,14,BUF,10,7,28,56,0.5
Ryan Malleck,11247,TE,2,HST,1,1,3,6,0.5
Darius Powe,11251,WR,1,NYG,4,2,13,26,0.5
Griff Whalen,7351,WR,2,BLT,5,4,23,46,0.5
Max McCaffrey,11357,WR,3,SF,1,1,4,8,0.5
James Develin,6142,FB,15,NE,9,6,38,79,0.48
Justin Hunter,7815,WR,7,PIT,9,4,23,48,0.48
Jeff Janis,8870,WR,3,GB,5,2,12,26,0.46
Chad Williams,11853,WR,6,ARZ,5,3,31,68,0.46
Jeremy Sprinkle,11909,TE,7,WAS,3,2,13,29,0.45
LeGarrette Blount,5863,HB,16,PHI,8,8,50,112,0.45
Markus Wheaton,7860,WR,11,CHI,17,3,51,117,0.44
Tanner Gentry,12170,WR,4,CHI,5,3,35,80,0.44
Terron Ward,9778,HB,4,ATL,3,3,14,32,0.44
