year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,D.J. Moore,48267,WR,15,CAR,130,87,66.9,1175,4,82.3,80.2,76.5,35.4,75.4,13.5,392,4.5,52,62,5,5,2,13,89.7,1,0
2019,Travis Kelce,7844,TE,16,KC,130,97,74.6,1229,5,85.1,88.5,71.2,57.9,76.6,12.7,403,4.2,47,66,5,0,1,15,116.5,9,2
2019,Odell Beckham Jr.,8647,WR,16,CLV,130,74,56.9,1035,4,68.7,69.4,61.7,53.2,,14,329,4.4,89,44,7,7,0,6,70.5,8,3
2019,Robert Woods,7822,WR,15,LA,129,90,69.8,1134,2,82.2,80.4,90.4,85.1,79.3,12.6,580,6.4,48,54,2,6,0,7,82.6,7,1
2019,Zach Ertz,7816,TE,15,PHI,128,88,68.8,916,6,73.4,76.1,77.6,55,55.3,10.4,274,3.1,30,50,5,1,1,6,101.6,2,0
2019,Davante Adams,8688,WR,12,GB,124,83,66.9,997,5,83.5,84.4,58.9,28.7,,12,392,4.7,58,53,8,1,2,2,101.4,4,1
2019,DeVante Parker,9447,WR,16,MIA,119,72,60.5,1202,9,79.2,79.8,64.7,81.7,,16.7,269,3.7,51,58,5,4,0,8,105.8,1,0
2019,Jamison Crowder,9538,WR,16,NYJ,118,78,66.1,834,6,72.4,73.3,57.6,82.2,,10.7,364,4.7,41,41,8,5,0,10,85.9,1,0
2019,Amari Cooper,9437,WR,16,DAL,116,79,68.1,1189,8,84.1,84.2,63.1,82.3,,15.1,232,2.9,53,54,7,2,0,6,117.3,6,1
2019,Courtland Sutton,48164,WR,16,DEN,115,72,62.6,1112,6,83.1,80.5,82.1,28,,15.4,361,5,70,49,3,2,2,16,104.7,1,1
2019,Darren Waller,9637,TE,16,OAK,115,90,78.3,1146,3,83.2,86.8,78.5,56.9,57.5,12.7,594,6.6,75,53,5,2,1,11,109.6,1,0
2019,Chris Godwin,11839,WR,14,TB,114,86,75.4,1333,9,90.7,90.4,90.8,82.8,73.2,15.5,580,6.7,71,63,1,5,0,17,121.7,2,1
2019,Mike Evans,8642,WR,13,TB,114,67,58.8,1157,8,85.7,85.2,58.9,81.4,69.6,17.3,266,4,67,54,7,8,0,2,87.5,2,0
2019,John Brown,8726,WR,15,BUF,114,72,63.2,1060,6,75.8,75.9,69.5,81.8,,14.7,221,3.1,53,53,4,3,0,10,100,0,0
2019,D.J. Chark Jr.,47702,WR,15,JAX,114,73,64,1008,8,75.2,75.8,89.8,82.5,,13.8,313,4.3,69,41,2,2,0,11,108.4,4,0
