year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Cameron Jordan,6176,ED,16,NO,553,542,98,16,8,59,83,9.1,479,88.7,14,7,56,77,9.5,61,11.3,2,1,3,6,6.6
2019,Jacob Martin,50152,ED,14,HST,169,160,94.7,4,2,19,25,9.1,124,78.5,4,0,15,19,9.3,34,21.5,0,2,4,6,8.8
2019,Gerald Willis III,27584,DI,2,MIA,11,11,100,0,0,2,2,9.1,2,25,0,0,0,0,0,6,75,0,0,1,1,8.3
2019,Aaron Lynch,8785,ED,16,CHI,157,138,87.9,2,7,14,23,9.1,99,71.7,0,3,11,14,7.1,39,28.3,2,4,3,9,14.1
2019,Jayrone Elliott,9336,ED,4,PIT,12,11,91.7,0,0,2,2,9.1,6,54.5,0,0,2,2,16.7,5,45.5,0,0,0,0,0
2019,Cory Littleton,11190,LB,16,LA,591,67,11.3,1,0,10,11,9,23,42.6,0,0,5,5,10.9,31,57.4,1,0,2,3,6.5
2019,Matthew Judon,10780,ED,16,BLT,504,405,80.4,10,25,27,62,8.9,239,59.6,3,16,13,32,7.3,162,40.4,6,9,14,29,10.8
2019,Harrison Smith,7641,S,15,MIN,583,34,5.8,0,1,5,6,8.8,21,63.6,0,1,1,2,4.8,12,36.4,0,0,4,4,16.7
2019,Tyrann Mathieu,7850,S,16,KC,630,51,8.1,2,1,4,7,8.8,24,47.1,0,1,3,4,8.3,27,52.9,2,0,1,3,9.3
2019,Daniel Sorensen,9253,S,16,KC,389,40,10.3,0,2,5,7,8.8,19,47.5,0,1,3,4,10.5,21,52.5,0,1,2,3,7.1
2019,Justin Reid,49048,S,15,HST,568,17,3,0,1,2,3,8.8,2,11.8,0,0,0,0,0,15,88.2,0,1,2,3,10
2019,Marcus Davenport,50291,ED,13,NO,346,318,91.9,6,9,35,50,8.8,25,7.9,1,0,1,2,6,290,92.1,5,9,33,47,9
2019,Anthony Hitchens,8754,LB,15,KC,366,46,12.6,2,2,2,6,8.7,22,52.4,0,1,2,3,6.8,20,47.6,1,1,0,2,7.5
2019,Deone Bucannon,8662,LB,11,NYG,157,23,14.6,0,1,3,4,8.7,10,47.6,0,1,3,4,20,11,52.4,0,0,0,0,0
2019,Aaron Donald,8648,DI,16,LA,539,539,100,14,13,53,80,8.7,235,43.6,6,8,23,37,9.1,304,56.4,8,5,30,43,8.4
2019,Frankie Luvu,51028,ED,8,NYJ,47,23,48.9,1,2,0,3,8.7,23,100,1,2,0,3,8.7,0,0,0,0,0,0,
2019,Dante Fowler Jr.,9436,ED,16,LA,531,473,89.1,15,3,49,67,8.7,228,48.2,9,2,29,40,10.7,245,51.8,6,1,20,27,6.7
2019,Todd Davis,9007,LB,14,DEN,516,29,5.6,0,1,4,5,8.6,15,51.7,0,1,2,3,10,14,48.3,0,0,2,2,7.1
2019,Shaq Lawson,10653,ED,15,BUF,271,262,96.7,7,13,18,38,8.6,97,37,2,7,8,17,9.8,165,63,5,6,10,21,7.9
2019,Adrian Clayborn,6172,ED,15,ATL,309,301,97.4,4,5,39,48,8.6,3,1,0,0,0,0,0,298,99,4,5,39,48,8.7
2019,Preston Smith,9471,ED,16,GB,523,396,75.7,13,10,32,55,8.6,276,69.7,8,7,17,32,7.2,120,30.3,5,3,15,23,11.7
2019,Chris Jones,10671,DI,13,KC,402,395,98.3,9,14,35,58,8.5,181,48.5,4,6,21,31,9.7,192,51.5,5,8,14,27,8.3
2019,James Burgess,11202,LB,10,NYJ,400,47,11.8,1,0,6,7,8.5,19,45.2,1,0,4,5,15.8,23,54.8,0,0,1,1,2.2
2019,Josh Allen,50235,ED,16,JAX,380,357,93.9,12,14,23,49,8.5,218,61.1,10,10,14,34,10.1,139,38.9,2,4,9,15,6.1
2019,Clay Matthews,4949,ED,13,LA,339,279,82.3,7,6,27,40,8.4,191,68.5,5,6,21,32,9.7,88,31.5,2,0,6,8,5.7
2019,Benson Mayowa,8196,ED,15,OAK,234,225,96.2,8,4,18,30,8.4,224,99.6,8,4,18,30,8.5,1,0.4,0,0,0,0,0
2019,Kevin Givens,28308,DI,1,SF,6,6,100,0,0,1,1,8.3,3,50,0,0,0,0,0,3,50,0,0,1,1,16.7
2019,Lamarcus Joyner,8676,CB,14,OAK,432,18,4.2,0,0,3,3,8.3,8,44.4,0,0,1,1,6.3,10,55.6,0,0,2,2,10
2019,Shawn Williams,7865,S,16,CIN,534,48,9,1,2,4,7,8.3,25,53.2,1,1,3,5,12,22,46.8,0,1,1,2,4.5
2019,P.J. Williams,9511,CB,14,NO,514,36,7,1,1,3,5,8.3,15,41.7,0,0,0,0,0,21,58.3,1,1,3,5,14.3
2019,Duron Harmon,7872,S,16,NE,433,24,5.5,0,2,2,4,8.3,10,41.7,0,0,0,0,0,14,58.3,0,2,2,4,14.3
